F1-known,F1-open,F1,Acc,dataset,method,known_cls_ratio,labeled_ratio,seed
74.164,91.9209,74.6193,87.33,oos,ADB,0.25,0.2,1
81.0362,41.6143,80.3681,73.05,banking,DeepUnk,0.75,0.4,0
76.303,92.29,76.7129,88.05,oos,ADB,0.25,0.4,1
67.6496,31.843000000000004,64.3945,54.35,stackoverflow,MSP,0.5,0.8,1
77.5875,92.8236,77.9782,88.82,oos,ADB,0.25,0.6,1
79.505,93.5124,79.8641,89.89,oos,ADB,0.25,0.8,1
68.0638,34.4438,65.0075,55.37,stackoverflow,MSP,0.5,1.0,1
83.1881,47.7816,82.5879,75.52,banking,DeepUnk,0.75,0.6,0
82.1026,54.0295,80.348,75.15,stackoverflow,MSP,0.75,0.2,1
79.8312,93.6161,80.1847,90.04,oos,ADB,0.25,1.0,1
80.2623,86.6546,80.3464,83.65,oos,ADB,0.5,0.2,1
80.8838,40.4784,78.3585,72.78,stackoverflow,MSP,0.75,0.4,1
83.1107,46.5823,82.4916,75.23,banking,DeepUnk,0.75,0.8,0
83.8527,88.4261,83.9129,86.09,oos,ADB,0.5,0.4,1
81.2735,42.6047,78.8567,73.42,stackoverflow,MSP,0.75,0.6,1
84.7514,89.0939,84.8085,86.89,oos,ADB,0.5,0.6,1
83.3897,45.7539,82.7518,75.36,banking,DeepUnk,0.75,1.0,0
46.3728,56.4876,46.6322,49.3,oos,DeepUnk,0.25,0.2,0
61.4223,79.2797,61.8802,71.28,oos,DeepUnk,0.25,0.4,0
81.832,44.1818,79.4789,74.27,stackoverflow,MSP,0.75,0.8,1
61.1073,77.7386,61.5337,69.74,oos,DeepUnk,0.25,0.6,0
85.0701,88.9126,85.1207,86.82,oos,ADB,0.5,0.8,1
65.0945,81.7172,65.5207,74.25,oos,DeepUnk,0.25,0.8,0
62.3506,79.4581,62.7893,71.68,oos,DeepUnk,0.25,1.0,0
82.6973,45.6358,80.3809,74.58,stackoverflow,MSP,0.75,1.0,1
61.7241,0.0,41.1494,29.43,snips,MSP,0.25,0.2,1
63.3725,50.1665,63.1987,55.44,oos,DeepUnk,0.5,0.2,0
58.3666,0.0,38.9111,30.14,snips,MSP,0.25,0.4,1
57.9302,0.0,38.6201,30.14,snips,MSP,0.25,0.6,1
61.3456,0.0,40.8971,29.43,snips,MSP,0.25,0.8,1
69.6958,66.8613,69.6585,66.6,oos,DeepUnk,0.5,0.4,0
57.231,0.0,38.154,30.14,snips,MSP,0.25,1.0,1
80.7475,17.3913,68.0762,64.29,snips,MSP,0.5,0.2,1
85.9356,89.7199,85.9854,87.74,oos,ADB,0.5,1.0,1
80.4363,15.5405,67.4572,64.0,snips,MSP,0.5,0.4,1
74.2854,74.3209,74.2859,72.68,oos,DeepUnk,0.5,0.6,0
80.1179,11.7241,66.4392,63.14,snips,MSP,0.5,0.6,1
80.2176,9.0909,65.9923,62.57,snips,MSP,0.5,0.8,1
72.5512,72.0825,72.5451,70.72,oos,DeepUnk,0.5,0.8,0
84.0793,80.6178,84.0487,82.42,oos,ADB,0.75,0.2,1
79.4881,3.5971,64.3099,61.14,snips,MSP,0.5,1.0,1
87.8373,5.0505,74.0395,72.86,snips,MSP,0.75,0.2,1
73.0672,71.7134,73.0494,70.72,oos,DeepUnk,0.5,1.0,0
87.7741,2.0513,73.487,72.43,snips,MSP,0.75,0.4,1
87.868,2.0513,73.5652,72.43,snips,MSP,0.75,0.6,1
73.4745,39.8247,73.1768,62.47,oos,DeepUnk,0.75,0.2,0
86.3571,82.7482,86.3251,84.67,oos,ADB,0.75,0.4,1
87.829,1.0309,73.3627,72.29,snips,MSP,0.75,0.8,1
78.7919,61.3497,78.6375,71.82,oos,DeepUnk,0.75,0.4,0
87.7085,1.0309,73.2622,72.14,snips,MSP,0.75,1.0,1
48.128,46.5237,48.0478,45.45,banking,MSP,0.25,0.2,2
47.9282,40.6653,47.5651,42.53,banking,MSP,0.25,0.4,2
47.6686,39.3701,47.2537,41.75,banking,MSP,0.25,0.6,2
48.4711,41.3139,48.1132,43.18,banking,MSP,0.25,0.8,2
81.4304,67.2414,81.3048,75.35,oos,DeepUnk,0.75,0.6,0
50.3025,47.6283,50.1688,47.11,banking,MSP,0.25,1.0,2
88.4275,84.07700000000001,88.389,86.39,oos,ADB,0.75,0.6,1
70.4674,54.9412,70.0693,62.82,banking,MSP,0.5,0.2,2
71.8337,48.7692,71.2423,61.56,banking,MSP,0.5,0.4,2
82.4978,71.9515,82.4045,77.91,oos,DeepUnk,0.75,0.8,0
72.0842,45.0407,71.3907,60.55,banking,MSP,0.5,0.6,2
88.579,84.2475,88.5407,86.54,oos,ADB,0.75,0.8,1
72.5304,45.6543,71.8413,60.94,banking,MSP,0.5,0.8,2
83.1855,72.9828,83.0952,78.72,oos,DeepUnk,0.75,1.0,0
43.6278,21.6787,39.9696,31.67,stackoverflow,DeepUnk,0.25,0.2,0
71.2245,36.9765,70.3463,57.69,banking,MSP,0.5,1.0,2
42.7186,20.6639,39.0428,31.4,stackoverflow,DeepUnk,0.25,0.4,0
77.0736,50.0699,76.6159,70.71,banking,MSP,0.75,0.2,2
89.0275,84.8485,88.9905,87.09,oos,ADB,0.75,1.0,1
42.9346,23.1514,39.6374,32.52,stackoverflow,DeepUnk,0.25,0.6,0
65.6983,72.6029,66.8491,65.02,stackoverflow,ADB,0.25,0.2,1
43.4239,21.4453,39.7608,31.7,stackoverflow,DeepUnk,0.25,0.8,0
75.4519,91.1538,78.0689,86.77,stackoverflow,ADB,0.25,0.4,1
82.0031,45.1833,81.37899999999998,73.9,banking,MSP,0.75,0.4,2
41.8433,20.4514,38.278,31.32,stackoverflow,DeepUnk,0.25,1.0,0
65.8057,72.559,66.9312,64.98,stackoverflow,ADB,0.25,0.2,1
75.5537,91.2154,78.164,86.85,stackoverflow,ADB,0.25,0.4,1
76.0856,90.6749,78.5171,86.25,stackoverflow,ADB,0.25,0.6,1
63.155,24.5671,62.1656,48.77,banking,DeepUnk,0.5,0.2,0
41.6342,88.9882,44.0019,81.53,banking,OpenMax,0.25,0.2,0
60.0855,80.0693,61.0847,71.17,banking,DOC,0.25,0.2,0
60.707,90.9349,62.2184,85.19,banking,OpenMax,0.25,0.4,0
68.6307,42.9672,67.9726,57.63,banking,DeepUnk,0.5,0.4,0
60.664,75.4322,61.4024,67.11,banking,DOC,0.25,0.4,0
72.5273,91.6047,73.4812,86.92,banking,OpenMax,0.25,0.6,0
82.3668,35.7834,81.5772,73.18,banking,MSP,0.75,0.6,2
76.3381,90.8036,78.749,86.42,stackoverflow,ADB,0.25,0.8,1
75.0202,90.733,75.8058,86.07,banking,OpenMax,0.25,0.8,0
68.7018,79.0092,69.2171,72.05,banking,DOC,0.25,0.6,0
70.9304,47.2625,70.3235,59.94,banking,DeepUnk,0.5,0.6,0
76.4553,90.5627,77.1606,86.04,banking,OpenMax,0.25,1.0,0
66.8696,75.8766,67.3199,69.09,banking,DOC,0.25,0.8,0
72.6375,86.6041,74.9652,80.87,stackoverflow,ADB,0.25,1.0,1
10.657,68.7238,12.1459,53.93,banking,OpenMax,0.5,0.2,0
73.3249,57.0806,72.9084,64.94,banking,DeepUnk,0.5,0.8,0
81.2808,81.5849,81.3085,80.35,stackoverflow,ADB,0.5,0.2,1
64.4523,71.0989,64.7847,64.61,banking,DOC,0.25,1.0,0
83.3411,40.1914,82.6097,74.77,banking,MSP,0.75,0.8,2
26.8866,71.5567,28.0319,59.81,banking,OpenMax,0.5,0.4,0
71.5906,72.7018,71.6191,70.91,banking,DOC,0.5,0.2,0
72.3994,54.4651,71.9395,63.51,banking,DeepUnk,0.5,1.0,0
82.9192,85.0024,83.1086,83.58,stackoverflow,ADB,0.5,0.4,1
51.4078,76.3297,52.0468,69.38,banking,OpenMax,0.5,0.6,0
75.866,27.6704,75.0492,67.31,banking,DeepUnk,0.75,0.2,0
83.7286,42.1642,83.0241,75.26,banking,MSP,0.75,1.0,2
77.3756,76.6514,77.357,75.91,banking,DOC,0.5,0.4,0
57.7741,75.5724,58.2305,67.91,oos,MSP,0.25,0.2,2
52.2825,64.2931,52.5905,57.49,oos,MSP,0.25,0.4,2
64.2879,78.5346,64.6532,74.09,banking,OpenMax,0.5,0.8,0
81.0362,41.6143,80.3681,73.05,banking,DeepUnk,0.75,0.4,0
84.0277,86.3615,84.2399,85.03,stackoverflow,ADB,0.5,0.6,1
51.6066,62.0398,51.8741,55.56,oos,MSP,0.25,0.6,2
76.2816,69.2247,76.1006,71.66,banking,DOC,0.5,0.6,0
50.5347,59.4279,50.7628,53.44,oos,MSP,0.25,0.8,2
66.4399,79.602,66.7774,75.71,banking,OpenMax,0.5,1.0,0
49.2149,56.0214,49.3895,50.79,oos,MSP,0.25,1.0,2
83.1881,47.7816,82.5879,75.52,banking,DeepUnk,0.75,0.6,0
84.4383,86.6302,84.6375,85.37,stackoverflow,ADB,0.5,0.8,1
6.0887,40.3303,6.669,27.27,banking,OpenMax,0.75,0.2,0
78.1529,71.3901,77.9794,73.77,banking,DOC,0.5,0.8,0
